DATE,CBA,ANZ,WBC,NAB,SUN,BEN,MQG,PPT,AMP,IAG,QBE
2/01/2020,79.88,24.3557,24.19,24.57,12.94,9.85,137.53,41.02,1.915,7.58,12.85
3/01/2020,80.31,24.5343,24.36,24.72,12.99,9.89,138.37,41.38,1.92,7.61,12.96
6/01/2020,79.77,24.4351,24.34,24.55,12.78,9.82,137.63,41.4,1.91,7.48,12.8
7/01/2020,81.2,24.7525,24.62,24.9,13.04,9.93,139.51,42.22,1.9,7.62,13.04
8/01/2020,80.9,24.6633,24.54,24.82,13.02,9.93,138.5,41.68,1.86,7.6,13.05
9/01/2020,81.49,24.693,24.47,24.83,13.19,9.93,139.13,42.96,1.855,7.6,13.07
10/01/2020,82.5,24.9212,24.65,24.93,13.27,10.07,140.35,42.95,1.88,7.65,13.19
13/01/2020,82.48,24.8121,24.59,24.93,13.26,10.04,139.5,42.39,1.87,7.65,13.14
14/01/2020,83.17,25.0006,24.57,25.06,13.38,10.07,141.13,42.57,1.895,7.73,13.24
15/01/2020,83.66,25.0502,24.69,25.17,13.35,10.09,141.51,42.72,1.92,7.77,13.36
16/01/2020,84.46,25.2188,24.9,25.36,13.54,10.2,143.47,42.49,1.95,7.89,13.81
17/01/2020,84.05,25.2188,24.98,25.46,13.5,10.18,144.14,42.57,1.93,7.91,13.9
20/01/2020,83.93,25.2883,25.07,25.61,13.39,10.26,144.98,42.97,1.915,7.72,13.83
21/01/2020,83.48,25.3081,25.12,25.7,13.19,10.16,144.01,42.29,1.875,7.68,13.71
22/01/2020,84.45,25.5165,25.14,25.71,13.32,10.15,145.86,42.96,1.88,7.8,13.87
23/01/2020,84.52,25.5462,25.08,25.69,13.21,10.16,145,43.34,1.85,7.72,13.71
24/01/2020,84.94,25.695,25.21,25.8,12.99,10.29,145.86,43.29,1.86,7.3,13.77
28/01/2020,84.02,25.2585,25,25.61,12.9,10.18,143.01,41.86,1.84,7.16,13.66
29/01/2020,84.61,25.5859,25.19,25.8,12.92,10.3,144.6,42.28,1.84,7.17,13.7
30/01/2020,85.44,25.6256,25.31,25.88,12.88,10.29,145.72,41.38,1.83,7.1,13.66
31/01/2020,85.26,25.5462,25.12,25.86,12.86,10.41,144.77,42.7,1.825,7.08,13.75
3/02/2020,84.55,25.0899,24.81,25.5,12.59,10.19,141.85,41.33,1.75,7.01,13.64
4/02/2020,84.31,25.4668,24.8,25.6,12.55,10.27,143.04,42.95,1.76,7.05,13.69
5/02/2020,83.28,25.6157,24.73,25.61,12.62,10.32,144.67,43.16,1.765,6.95,13.87
6/02/2020,84.23,25.9034,25.16,25.95,12.82,10.39,146.72,43.26,1.77,7.1,14.14
7/02/2020,84.8,25.824,25.01,25.92,12.65,10.12,146.96,42.55,1.745,7.07,14.02
10/02/2020,84.32,25.7446,24.97,25.78,12.51,10.2,146.34,42.41,1.725,6.88,14.05
11/02/2020,84.72,25.9232,25.1,25.9,12.35,10.2,145.53,43.2,1.745,6.87,14.15
12/02/2020,88.18,26.1315,25.25,26.13,12.42,10.53,148.26,44.22,1.825,6.88,14.28
13/02/2020,88.73,26.2208,25.41,26.49,12.37,10.38,149.31,43.41,1.815,6.79,14.26
14/02/2020,90.99,26.3994,25.7,27.35,12.57,10.57,148.58,42.33,1.825,6.79,14.15
17/02/2020,89.46,26.3696,25.62,27.28,12.51,10.275,148.72,42.28,1.89,6.78,14.76
18/02/2020,90.26,26.4391,25.75,27.28,12.54,9.98,149.14,42.18,1.99,6.66,15.05
19/02/2020,87.83,26.5482,25.62,27.31,12.2,9.92,150.78,42.53,2.08,6.64,15.02
20/02/2020,87.85,26.8161,25.69,27.4,12.33,10,151.77,47.27,2.05,6.67,15.11
21/02/2020,88.8,27.0244,25.81,27.41,12.47,10.02,151.34,44.8,2.06,6.79,15.13
24/02/2020,87.99,26.6177,25.5,27.11,12.22,9.94,145.69,42.84,1.965,6.67,14.79
25/02/2020,86.8,26.3796,25.08,26.8,12,9.65,144.75,42.21,1.935,6.59,14.57
26/02/2020,85.35,25.8637,24.66,26.24,11.8,9.52,141.29,40.5,1.845,6.49,14.29
27/02/2020,84.43,25.328,24.33,25.89,11.71,9.47,139.42,39.74,1.77,6.57,14.18
28/02/2020,81.78,24.6335,23.64,25.1,11.34,9.19,134.83,38.36,1.675,6.38,13.59
2/03/2020,80.47,24.1474,23.19,24.47,11.22,9.01,134,37.93,1.67,6.5,13.55
3/03/2020,79.11,23.8101,22.94,24.13,11.34,8.89,135.96,38.85,1.67,6.65,13.32
4/03/2020,77.11,23.0263,22.23,23.24,11.1,8.53,132.94,35.84,1.63,6.58,12.95
5/03/2020,76.75,23.0561,22.25,23.29,11.45,8.47,137.53,36.12,1.645,6.83,12.65
6/03/2020,73.93,21.9648,21.35,22,11.2,7.78,131.93,32.9,1.575,6.63,12.17
9/03/2020,69.15,20.1096,19.52,20.14,10.44,7.04,121.5,29.8,1.415,6.36,10.9
10/03/2020,73.37,20.9628,20.54,21.1,10.74,7.43,126.55,30.51,1.47,6.69,11.22
11/03/2020,68.5,19.802,19.46,19.78,10.32,6.99,120.9,29.91,1.435,6.54,10.96
12/03/2020,63.11,18.1155,17.74,18.13,9.48,6.5,111.78,26.71,1.355,6.07,10.23
13/03/2020,66.36,18.6512,18.12,18.41,9.66,6.74,116.48,28.93,1.445,6.31,10.72
16/03/2020,59.72,16.3198,15.98,16.12,8.6,5.99,102.5,27.69,1.31,5.8,9.12
17/03/2020,67.64,18.2544,17.25,17.21,9.7,6.4,104.49,29.18,1.445,6.21,9.55
18/03/2020,63.95,16.4885,15.9,16.01,8.6,6.18,91.05,26.41,1.37,5.95,8.4
