DATE,CBA,ANZ,WBC,NAB,SUN,BEN,MQG,PPT,AMP,IAG,QBE
2/08/2023,103.46,25.35,21.98,28.11,13.95,9.32,175.08,24.76,1.12,5.88,15.67
3/08/2023,102.46,25.26,21.9,27.93,14.04,9.16,174,24.67,1.09,5.99,15.85
4/08/2023,101.87,25.45,21.98,27.95,14.13,9.15,175.44,25.15,1.095,6.1,15.93
7/08/2023,101.85,25.3,21.83,27.96,13.77,9.18,176.08,25.16,1.1,6,15.65
8/08/2023,102.21,25.24,21.71,28.03,13.75,9.08,175.4,25.3,1.095,5.98,15.88
9/08/2023,104.85,25.43,22.07,28.64,13.54,9.15,174.96,25.45,1.1,5.95,15.6
10/08/2023,104.47,25.4,22.14,28.6,13.73,9.19,174.98,25.17,1.15,6.04,15.41
11/08/2023,104.4,25.35,22.15,28.56,13.42,9.19,175.06,25.36,1.245,5.98,15.37
14/08/2023,103.7,25.13,21.91,28.33,13.17,8.92,175.45,25.02,1.21,5.92,15.19
15/08/2023,103.51,25.08,21.97,28.7,13.38,9.21,175.8,24.94,1.215,5.93,15.38
16/08/2023,99.79,24.82,21.78,28.4,13.32,9.33,173.19,24.86,1.225,5.88,15.23
17/08/2023,99.65,24.59,21.36,27.81,13.33,9.38,169.75,24.65,1.245,5.88,14.99
18/08/2023,99.05,24.49,21.27,27.68,13.25,9.35,168.8,24.79,1.255,5.84,14.99
21/08/2023,98.45,24.24,20.62,27.57,13.06,9.28,170.12,24.63,1.23,5.79,14.77
22/08/2023,98.67,24.3,20.88,27.93,12.99,9.43,171.06,25.02,1.245,5.73,14.52
23/08/2023,99.45,24.45,21.14,28.04,13.16,9.47,170.11,24.92,1.215,5.83,14.73
24/08/2023,100.61,24.56,21.43,28.39,13.22,9.43,173.09,23.31,1.235,5.87,14.73
25/08/2023,99.57,24.34,21.32,27.89,13.05,9.3,171.79,22.04,1.23,5.68,14.49
28/08/2023,100.78,24.58,21.38,28.26,13.09,9.42,172.48,21.32,1.23,5.75,14.54
29/08/2023,101.03,24.8,21.55,28.41,13.12,9.44,174.59,20.96,1.235,5.69,14.64
30/08/2023,101.84,25.04,21.72,28.85,13.44,9.54,177.09,21.4,1.255,5.77,14.7
31/08/2023,102.18,25.33,21.95,28.96,13.63,9.51,177.53,21.07,1.265,5.82,14.98
1/09/2023,101.35,25.17,21.79,28.9,13.66,9.52,176.76,21.12,1.26,5.83,15.11
4/09/2023,102.01,25.19,21.83,28.95,13.64,9.19,177.65,21.6,1.26,5.79,14.98
5/09/2023,102.22,25.2,21.53,29.01,13.65,9.03,176.92,21.71,1.26,5.76,15
6/09/2023,101.51,25.06,21.19,28.66,13.74,8.86,170.21,21.69,1.25,5.79,15.15
7/09/2023,100.9,24.87,21.12,28.59,13.67,8.92,171.23,20.78,1.265,5.76,15.11
8/09/2023,100.81,24.93,21.17,28.65,13.77,8.99,171.11,20.64,1.27,5.79,15.12
